Number of clusters: 1011
Cluster 1 has 15390 data
Cluster 2 has 1490910 data
Cluster 3 has 71356 data
Cluster 4 has 19 data
Cluster 5 has 41 data
Cluster 6 has 41 data
Cluster 7 has 41 data
Cluster 8 has 41 data
Cluster 9 has 229 data
Cluster 10 has 41 data
Cluster 11 has 60 data
Cluster 12 has 2292 data
Cluster 13 has 123 data
Cluster 14 has 68 data
Cluster 15 has 143 data
Cluster 16 has 41 data
Cluster 17 has 68 data
Cluster 18 has 348 data
Cluster 19 has 5 data
Cluster 20 has 115 data
Cluster 21 has 46 data
Cluster 22 has 171 data
Cluster 23 has 656 data
Cluster 24 has 146 data
Cluster 25 has 1025 data
Cluster 26 has 768 data
Cluster 27 has 1066 data
Cluster 28 has 574 data
Cluster 29 has 656 data
Cluster 30 has 1307 data
Cluster 31 has 82 data
Cluster 32 has 41 data
Cluster 33 has 41 data
Cluster 34 has 13 data
Cluster 35 has 41 data
Cluster 36 has 41 data
Cluster 37 has 41 data
Cluster 38 has 41 data
Cluster 39 has 41 data
Cluster 40 has 82 data
Cluster 41 has 81 data
Cluster 42 has 374 data
Cluster 43 has 13 data
Cluster 44 has 41 data
Cluster 45 has 41 data
Cluster 46 has 97995 data
Cluster 47 has 18944 data
Cluster 48 has 2624 data
Cluster 49 has 984 data
Cluster 50 has 19216 data
Cluster 51 has 2448 data
Cluster 52 has 3792 data
Cluster 53 has 1189 data
Cluster 54 has 1025 data
Cluster 55 has 41 data
Cluster 56 has 993 data
Cluster 57 has 82 data
Cluster 58 has 41 data
Cluster 59 has 123 data
Cluster 60 has 492 data
Cluster 61 has 123 data
Cluster 62 has 164 data
Cluster 63 has 41 data
Cluster 64 has 41 data
Cluster 65 has 26 data
Cluster 66 has 82 data
Cluster 67 has 256 data
Cluster 68 has 289 data
Cluster 69 has 205 data
Cluster 70 has 383 data
Cluster 71 has 491 data
Cluster 72 has 790 data
Cluster 73 has 121 data
Cluster 74 has 27627 data
Cluster 75 has 246 data
Cluster 76 has 323 data
Cluster 77 has 41 data
Cluster 78 has 41 data
Cluster 79 has 41 data
Cluster 80 has 27 data
Cluster 81 has 41 data
Cluster 82 has 41 data
Cluster 83 has 2901 data
Cluster 84 has 346 data
Cluster 85 has 183 data
Cluster 86 has 123 data
Cluster 87 has 290 data
Cluster 88 has 82 data
Cluster 89 has 41 data
Cluster 90 has 188 data
Cluster 91 has 82 data
Cluster 92 has 674 data
Cluster 93 has 41 data
Cluster 94 has 367 data
Cluster 95 has 7 data
Cluster 96 has 41 data
Cluster 97 has 23 data
Cluster 98 has 75 data
Cluster 99 has 41 data
Cluster 100 has 41 data
Cluster 101 has 61 data
Cluster 102 has 41 data
Cluster 103 has 57 data
Cluster 104 has 41 data
Cluster 105 has 328 data
Cluster 106 has 41 data
Cluster 107 has 225 data
Cluster 108 has 489 data
Cluster 109 has 517 data
